city_name,country_code,latitude,longitude,date,cloud_cover_perc_avg,cloud_cover_perc_max,cloud_cover_perc_min,degree_days_cooling,degree_days_freezing,degree_days_growing,degree_days_heating,humidity_relative_avg,humidity_relative_max,humidity_relative_min,index_air_quality_24hr_max,index_uv_avg,index_uv_max,index_uv_min,minutes_of_ice_total,minutes_of_precipitation_total,minutes_of_sun_total,minutes_of_rain_total,minutes_of_snow_total,has_ice,ice_lwe_rate_avg,ice_lwe_rate_max,ice_lwe_rate_min,ice_lwe_total,ice_probability,has_precipitation,precipitation_lwe_rate_avg,precipitation_lwe_rate_max,precipitation_lwe_rate_min,precipitation_lwe_total,precipitation_probability,precipitation_type_desc_predominant,has_rain,rain_lwe_rate_avg,rain_lwe_rate_max,rain_lwe_rate_min,rain_lwe_total,rain_probability,snow_liquid_ratio_accuweather_avg,snow_liquid_ratio_accuweather_max,snow_liquid_ratio_accuweather_min,has_snow,snow_avg,snow_max,snow_min,snow_total,snow_lwe_rate_avg,snow_lwe_rate_max,snow_lwe_rate_min,snow_lwe_total,snow_probability,solar_irradiance_avg,solar_irradiance_max,solar_irradiance_total,temperature_avg,temperature_max,temperature_min,temperature_dew_point_avg,temperature_dew_point_max,temperature_dew_point_min,temperature_heat_index_avg,temperature_heat_index_max,temperature_heat_index_min,temperature_realfeel_avg,temperature_realfeel_max,temperature_realfeel_min,temperature_realfeel_shade_avg,temperature_realfeel_shade_max,temperature_realfeel_shade_min,temperature_wind_chill_avg,temperature_wind_chill_max,temperature_wind_chill_min,visibility_avg,visibility_max,visibility_min,wind_direction_avg,wind_gust_avg,wind_gust_max,wind_gust_min,wind_gust_direction_avg,wind_speed_avg,wind_speed_max,wind_speed_min
hong kong,hk,22.36851,114.17402,2024-07-14,78,99,49,22.2,0,37.2,0,74.17,87.59,59.77,52,1.26,5.34,0,0,120,108,120,0,false,0,0,0,0,0,false,0.08,0.03,0.01,0.08,79,rain,true,0.08,0.03,0.01,0.08,79,0,0,0,false,0,0,0,0,0,0,0,0,0,110.51,575.19,2652.36,87.2,93.51,81.48,77.89,78.4,77.3,99.58,108.6,89.59,97.06,104.33,91.19,95.96,101.14,91.19,87.2,93.51,81.48,7.88,10,6,96.8,17.17,22.5,11.5,96.8,6.88,9,4.6
hong kong,hk,22.36851,114.17402,2024-07-15,93,100,84,20.73,0,35.73,0,78.61,90.02,65.04,52,0.75,3.12,0,0,180,42,180,0,false,0,0,0,0,0,false,0.22,0.13,0.01,0.22,94,rain,true,0.22,0.13,0.01,0.22,94,0,0,0,false,0,0,0,0,0,0,0,0,0,74.1,224.59,1778.39,85.73,91.69,81.26,78.3,78.6,77.9,97.85,107.39,89.83,95.17,101.87,88.95,94.51,99.7,88.95,85.73,91.69,81.26,5.92,7,4,88.9,20.62,25.2,16.5,88.9,8.25,10.1,6.6
hong kong,hk,22.36851,114.17402,2024-07-21,100,100,100,19.54,0,34.54,0,81.52,92.61,66.58,0,0.61,2.4,0,0,540,0,540,0,false,0,0,0,0,0,false,0.68,0.16,0.01,0.68,97,rain,true,0.68,0.16,0.01,0.68,97,0,0,0,false,0,0,0,0,0,0,0,0,0,18.92,54.61,453.98,84.54,90,81.11,78.18,79.76,76.4,95.65,103.98,89.49,93.59,99.19,89.03,92.93,99.19,89.03,84.54,90,81.11,4.42,5,4,148.1,13.3,21.5,7.7,148.1,7.4,9.5,3.6
hong kong,hk,22.36851,114.17402,2024-07-22,91,100,67,19.27,0,34.27,0,80.09,93.25,61.8,0,1.32,4.97,0,0,360,96,360,0,false,0,0,0,0,0,false,0.64,0.26,0.01,0.64,96,rain,true,0.64,0.26,0.01,0.64,96,0,0,0,false,0,0,0,0,0,0,0,0,0,135.94,571.09,3262.62,84.27,91,79.2,77.32,78.49,75.37,94.02,105.16,83.81,93.91,100.56,87.43,92.5,100.56,87.43,84.27,91,79.2,4.88,6,3,166.3,11.61,15,8.8,166.3,5.92,7.7,3.5
hong kong,hk,22.36851,114.17402,2024-07-23,99,100,99,20.22,0,35.22,0,76,85.69,63.1,0,1,4.31,0,0,450,0,450,0,false,0,0,0,0,0,false,0.64,0.14,0.01,0.64,98,rain,true,0.64,0.14,0.01,0.64,98,0,0,0,false,0,0,0,0,0,0,0,0,0,29.4,89.44,705.71,85.22,91,80.2,76.77,79.34,74.79,95.31,105.46,85.49,93.87,101.26,86.4,92.83,100.15,86.4,85.22,91,80.2,4.54,5,4,177.5,11.76,16.4,8.3,177.5,5.58,6.5,3.3
hong kong,hk,22.36851,114.17402,2024-07-24,100,100,100,19.57,0,34.57,0,77.49,88.41,64.65,0,0.99,4.72,0,0,390,0,390,0,false,0,0,0,0,0,false,0.54,0.19,0,0.54,95,rain,true,0.54,0.19,0,0.54,95,0,0,0,false,0,0,0,0,0,0,0,0,0,18.86,54.58,452.65,84.57,90,80.2,76.74,79.88,74.77,94.26,103.21,85.39,93.09,99.8,85.4,92.15,97.93,85.4,84.57,90,80.2,4.67,5,4,145,12.35,13.8,9.9,145,6.05,7.2,5.1
hong kong,hk,22.36851,114.17402,2024-07-25,99,100,99,18.01,0,33.01,0,82.77,89.24,75.16,0,0.73,3.12,0,0,300,0,300,0,false,0,0,0,0,0,false,0.58,0.17,0.01,0.58,94,rain,true,0.58,0.17,0.01,0.58,94,0,0,0,false,0,0,0,0,0,0,0,0,0,24.88,89.41,597.14,83.01,86.06,79.2,77.26,79.45,75.23,92.17,97.58,83.32,92.74,97.24,85.67,91.82,95.39,85.67,83.01,86.06,79.2,6.54,10,2,138,6.9,10.4,3.3,138,4.17,5.6,3
hong kong,hk,22.36851,114.17402,2024-07-26,85,100,64,18.05,0,33.05,0,84.88,93.75,74.61,0,1.18,5,0,0,90,129,90,0,false,0,0,0,0,0,false,0.05,0.03,0.01,0.05,91,rain,true,0.05,0.03,0.01,0.05,91,0,0,0,false,0,0,0,0,0,0,0,0,0,171.33,619.34,4111.91,83.05,87.4,79.2,78.01,79.48,77.06,92.82,101.1,83.85,94.3,99.78,89.42,93.28,98.74,89.42,83.05,87.4,79.2,9.5,10,6,151.5,3.82,11.2,1,151.5,3.02,8.4,0.9
hong kong,hk,22.36851,114.17402,2024-07-17,95,100,73,19.93,0,34.93,0,80.39,91.31,68.34,50,0.69,2.72,0,0,240,25,240,0,false,0,0,0,0,0,false,0.46,0.24,0.01,0.46,90,rain,true,0.46,0.24,0.01,0.46,90,0,0,0,false,0,0,0,0,0,0,0,0,0,45.72,151.64,1097.3,84.93,90.35,80.73,78.2,78.8,77.7,96.39,105.82,88.75,94,100.42,90.55,93.36,98.33,90.55,84.93,90.35,80.73,5,6,3,78.3,20.22,24.6,12.7,78.3,8.69,11.3,5.1
hong kong,hk,22.36851,114.17402,2024-07-18,99,100,99,17.92,0,32.92,0,83.55,91.59,74.74,50,0.6,2.57,0,0,570,0,570,0,false,0,0,0,0,0,false,1.72,0.56,0.04,1.72,98,rain,true,1.72,0.56,0.04,1.72,98,0,0,0,false,0,0,0,0,0,0,0,0,0,19.68,54.62,472.43,82.92,85.84,80.87,77.47,79.46,76.4,92.22,96.78,88.88,89.51,93.36,86.93,89.04,93.36,85.2,82.92,85.84,80.87,2.85,4.08,0.25,100.3,28.17,32.7,21.8,100.3,11.97,13.6,10.3
